"fixture_id","elapsed","team_id","player","type","detail"
328014,46,123,"L. Batista da Silva Junior","subst","Sander"
328014,48,123,"W. Farias","Card","Yellow Card"
328014,58,144,"Matheuzinho","subst","G. Ferrareis"
328014,58,144,"Junior Brandao","subst","Hyuri"
328014,63,144,"Dudu","Card","Yellow Card"
328014,64,144,"Dudu","Card","Red Card"
328014,64,144,"Dudu","Card","Yellow Card"
328014,66,123,"Ricardinho","Card","Yellow Card"
328014,69,123,"Bruno","subst","J. Gomez"
328014,78,123,"Hernane","subst","W. Farias"
328014,78,144,"Moacir","subst","Jorginho"
328014,84,144,"W. Maranhao","subst","E. Felipe"
328014,90,123,"I. Maidana","Goal","Normal Goal"
328015,8,130,"D. Souza","Card","Yellow Card"
328015,34,127,"Gabriel Barbosa","Card","Yellow Card"
328015,34,127,"Filipe Luis","Card","Yellow Card"
328015,45,130,"Pepe","Goal","Normal Goal"
328015,46,130,"L. Silva","subst","Maicon"
328015,53,127,"Joao Lucas","Card","Yellow Card"
328015,63,127,"Vitinho","subst","E. Ribeiro"
328015,65,130,"Isaque","subst","D. Souza"
328015,73,130,"Thiago Neves","subst","Jean"
328015,80,127,"Pedro","subst","Gerson"
328015,87,130,"W. Kannemann","Card","Yellow Card"
328015,87,127,"Gabriel Barbosa","Goal","Penalty"
328015,87,130,"P. Geromel","Card","Yellow Card"
328015,89,130,"D. Braz","subst","Henrique Matheus"
328015,90,130,"Thaciano","subst","Alisson"
328018,1,794,"Alerrandro","Goal","Normal Goal"
328018,2,124,"Nene","Goal","Normal Goal"
328018,30,124,"Nene","Card","Yellow Card"
328018,43,794,"Artur","Card","Yellow Card"
328018,46,124,"Henrique Luiz","subst","M. Paulo"
328018,51,794,"Matheus Jesus","Card","Yellow Card"
328018,57,794,"L. Phelipe","subst","Morato"
328018,58,124,"Yuri","Card","Yellow Card"
328018,63,124,"Evanilson","Card","Yellow Card"
328018,65,124,"Ganso","subst","Nene"
328018,66,124,"I. Juliao","Card","Yellow Card"
328018,68,794,"L. Evangelista","subst","Barreto"
328018,70,794,"L. Phelipe","Card","Yellow Card"
328018,76,794,"Edimar","Card","Yellow Card"
328018,81,794,"Weverson","subst","Matheus Jesus"
328018,81,794,"Robinho","subst","Artur"
328018,81,794,"Bruno Tubarao","subst","Claudinho"
328018,82,794,"L. Phelipe","Goal","Normal Goal"
328018,86,124,"Ganso","Card","Yellow Card"
328018,87,124,"Nino","Card","Yellow Card"
328018,90,124,"C. Paulista","subst","M. Araujo"
328018,90,794,"L. Evangelista","Card","Yellow Card"
328022,24,134,"K. D. Silva Oliveira","Card","Yellow Card"
